公司,岗位,岗位方向,优先级,定位说明,描述,秋招开始参考日期,岗位链接,可投岗位数量,计划投简历时间
字节跳动,AIDP后端开发,AI数据平台/后端开发,high,秋招未正式开放前，用转正实习/同类岗位作为目标岗位画像和投递替代样本,"职位描述
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：AIDP（AI Data Platform）是深度参与字节跳动 AI 数据管理与模型训练流程的数据基础设施团队，提供数据采集、清洗、标注、合成、验证、管理等全流程的数据服务和全面解决方案。
加入我们，你能深度参与字节跳动 AI 核心业务近距离接触真实的大模型训练场景，解决数据处理中的实际问题和优秀团队协作，在数据与模型的交叉领域积累实战经验；在数据与模型领域实现个人价值，推动行业进步。你的工作将直接影响 AI 技术的落地效果，推动技术真正服务于用户。

1、围绕Seed大模型数据全生命周期，参与/负责大模型数据管理平台的数据基建的整体架构设计与建设，包括数据接入、处理、检索、跟踪、质量评估、权限合规等基础能力；
2、构建Seed大模型海量数据的资产目录、标签体系、元信息管理及血缘分析能力，提升高质量数据挖掘效率与可用性，赋能算法预训练、SFT/RLHF等核心场景；
3、协同基础架构/云平台团队，搭建稳定高效的底层数据基础设施（数据湖、对象存储、向量存储、分布式计算、元数据管理系统等）；
4、主导技术选型与架构优化，基于Spark/Flink/Ray、湖仓一体、向量数据库等技术栈，构建高吞吐、高容错、可扩展的处理存储能力，支撑日PB级数据处理。
职位要求
1、2027届本科及以上学历在读，计算机、通信等相关专业优先；
2、具备大数据开发相关技能，熟悉Java/Scala语言，包括JVM、类加载、并发等；有较好的SQL基础；
3、熟悉Flink、Spark、Kafka、ClickHouse、Doris、Hudi、Icebreg、Paimon中的部分大数据引擎，掌握原理及性能调优优先；
4、善于沟通，对数据敏感，责任心强、积极主动；",2026-08-04,https://jobs.bytedance.com/campus/position/7605138439188990261/detail,2,
阿里巴巴,AI应用研发工程师,AI应用/Agent工程,high,秋招未正式开放前，用转正实习/同类岗位作为目标岗位画像和投递替代样本,"职位描述
聚焦核心业务场景，利用Agent等前沿技术推动AI落地。你将参与从需求洞察到系统构建的全流程，通过研发智能应用与工具，提升业务效率与效果，实现技术驱动业务增长的完整闭环，推动智能规模化演进，实现技术价值转化。
具体职责包括以下相关方向的一项或多项：
1.需求理解与归因：
● 深入业务场景，利用数据挖掘与特征分析完成现象归因；精准识别高价值问题，将模糊的业务痛点转化为明确的 AI 解决目标。
2.架构设计：
● 面向具体业务需求，设计 AI 原生系统架构；参与 Agent 系统核心模块的规划，包括记忆管理、推理策略与工具编排，兼顾架构的灵活性、可扩展性与工程可落地性。
3.知识与环境构建：
● 搭建AI与现有业务系统的交互环境，涵盖 API 接入、RAG 知识库构建、记忆方案设计；持续优化召回质量与上下文注入策略，为模型提供准确、及时的执行环境与知识支撑。
4.核心能力实现：
● 负责Agent关键模块的工程落地，实现意图识别、任务拆解与反思纠错闭环；封装标准化SDK/API服务，构建Agent观测体系，实现全链路追踪与多维归因分析。
5.系统迭代与演进：
● 建立搭建自动化评测与回测机制，通过调优与Case分析不断收敛效果与性能提升的最优路径；沉淀方法论与可复用组件，推动 AI 能力从单点验证走向规模化落地。
6.性能优化：
● 优化高并发场景下的系统性能，通过异步处理与降级策略保障稳定性，通过低侵入性观测手段保障系统的长期稳定运行。
职位要求
1.基础条件
● 计算机、软件工程、人工智能等相关专业优先。
2.专业能力
● AI编程工具重度玩家：Cursor、Claude code等AI编程工具重度或顶级玩家，具备极强的Prompt编写与调优能力，有过完整的项目级开发经验，理解如何让AI写出生产级代码。
● 大模型能力理解与掌握：理解主流LLM的能力与局限，能够清晰拆解任务并通过LLM或确定性逻辑兜底实现；熟悉主流大模型的应用范式(Context Engineering、Prompt Engineering、Agent、工具/函数调用等等)及主流Agent框架(如LangChain等)，具备大模型幻觉、Prompt注入等风险的工程化应对思路。
● 扎实的代码和工程能力：具备扎实的计算机基础知识，深入理解数据结构、算法、网络和操作系统等相关知识，能至少在一种主流编程语言（如 Java / Python / JS 等）上有深度的实践经验，掌握常见工程实践并具备优秀的Coding 能力，能够根据场景灵活选型并快速上手。
3.能力特质
● 学习能力： 具备快速啃透前沿论文（Paper）的能力，并能将理论知识转化为工程代码。
● 开放性与动手能力： 拒绝纸上谈兵，有自己独立完成的小项目（开源项目或个人 Demo），展现极客精神。
● 好奇心与想象力： 面对未知事物有独特的想法，具备敏锐的问题定义能力和坚韧的解决问题能力。
● 审美追求： 技术亦有审美，鼓励你提出能提出打动人心、简洁优雅的好想法。
● 高能动性： 具备强烈的自驱力，能够主动探索边界，而不是等待被分配任务。
加分项
● 有AI应用或Agent实际落地经验：包括不限于RAG系统、多智能体编排、结合MCP、Skill等的Agent项目，有可展示的项目/实习成果者优先。
● 开源贡献或技术影响力：在Github上有高质量AI项目、技术博客或社区影响力。
● 对AI Infra有基本理解：了解vLLM、Ollama等推理框架原理，理解延迟优化、KV cache优化、流式输出等工程全局视角。
● 在 CV（计算机视觉）或 NLP（自然语言处理）方向有扎实的理论基础，有实际业务场景模型训练(SFT、RL)等经验的优先。",2026-08-05,https://campus-talent.alibaba.com/campus/position/199903220038?deptCodes=,n*2,
京东,后端开发工程师,后端开发/AI辅助研发,medium,秋招未正式开放前，用转正实习/同类岗位作为目标岗位画像和投递替代样本,"工作内容

1. 负责相关系统/模块的业务需求分析，参与核心系统设计、开发、维护工作；
2. 参与核心系统的灵活性、稳定性建设，保障线上系统的高可用；
3. 探索学习后端开发最新技术，保持技术前瞻性，持续推动系统架构的合理性，扩展技术深度与宽度，提升研发效率；
4. 通过与前端、产品、算法、测试紧密协作，为产品业务迭代提供支持；
5. AI应用探索：主动关注AI在后端开发领域的创新应用，积极运用AI编程助手等工具提升代码质量、开发效率与问题排查能力。
任职资格

1. 统招本科及以上学历在校生，27届优先；
2. 熟练掌握C/C++/Java/Go等其中一种或多种开发语言；
3. 有扎实的专业基础知识，熟悉常用的数据结构和算法，对计算机系统结构、网络、操作系统等专业知识有深刻认知；
4. 了解TCP/IP、UDP、FTP、HTTP、HTTPS的基本原理及应用场景；
5. 有分布式系统开发、大数据处理开发经验者优先；
6. 有互联网企业实习经验优先；
7. 具备优秀的逻辑思维能力，有良好的团队合作精神，较强的沟通能力和学习能力；
8. 熟练使用熟练使用AI编程助手（如Claude Code、GitHub Copilot、Cursor等），并对OpenClaw、Hermes等Agent编排架构有初步理解；
9. 对AI新技术保持好奇心，乐于主动学习并快速掌握新的AI知识和功能，积极拥抱新技术；
10. 符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
投递简历",2026-07-21,https://campus.jd.com/#/details?id=4868,1+1,
腾讯,Agent开发工程师,Agent平台/应用工程,high,2027正式校招；B级北京通用AI候补。腾讯金融科技和微信支付只在深圳，不能标成北京金融岗,"岗位职责
1. 设计开发多Agent协作框架、任务规划调度、工具调用与执行引擎。
2. 建设Memory、推理链路和决策机制，提升复杂业务中的自主性与可靠性。
3. 搭建Agent评测和质量保障体系，持续优化效果、性能与成本。
岗位要求
1. 熟练掌握Python/TypeScript/Go等至少一门语言，数据结构与算法基础扎实。
2. 理解Planning、Memory、Tool Use、Reflection，熟悉LangGraph、AutoGen、CrewAI或MetaGPT等框架。
3. 了解大模型与Prompt Engineering，具备复杂Agent系统、RAG或Agent评测经验者优先。
北京可选团队包括腾讯营销、腾讯新闻、腾讯视频、数据计算平台部和企业微信；金融科技部门仅深圳。",2026-08-06,https://join.qq.com/post_detail.html?postid=1282707395466077184,单流程1岗（待官网提交页复核）,
美团,AI应用开发工程师（金融服务平台方向）,金融AI应用/Agent后端,high,2027正式秋招；A-级条件主投。城市和部门是独立字段，提交时必须确认“金融服务平台+北京”确有HC,"岗位职责
1. 参与大模型应用、Agent应用和企业内部AI工具研发落地。
2. 基于LLM API、RAG、工具调用和工作流编排构建稳定、可迭代的AI应用。
3. 负责后端接口、数据处理、效果监控与持续优化。
岗位要求
1. 熟悉Python、Go、Java或TypeScript之一，以及后端开发、数据库、接口和部署。
2. 了解Prompt、RAG、Function Calling、Agent、Embedding和MCP。
3. 能把业务需求拆解为工程方案。
官网城市含北京、上海，部门含金融服务平台，但未返回城市与部门的组合映射。",2026-08-17,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4694862735&highlightType=campus,3（第三方规则；提交页待复核）,
美团,AI后端开发工程师（金融服务平台方向）,金融AI后端/Agent编排,high,2027正式秋招；A-级条件候补。提交时必须确认“金融服务平台+北京”确有HC,"岗位职责
1. 负责后台服务、业务系统、数据平台与基础服务的设计开发。
2. 将LLM API、RAG和AI Agent编排集成到业务系统。
3. 优化架构、容灾、降级、性能和线上稳定性。
岗位要求
1. 掌握Java、C/C++、Python或Go，熟悉MySQL、SQL、Shell和计算机基础。
2. 了解主流大模型API和AI编程工具；有LangChain/LlamaIndex、RAG或Agent应用经验者优先。
官网城市含北京、上海、成都，部门含金融服务平台，但未返回城市与部门的组合映射。",2026-08-17,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697280304&highlightType=campus,3（第三方规则；提交页待复核）,
美团,【北斗】大模型算法工程师（金融场景）,金融大模型/Agent算法,high,2027届北斗计划正式岗位；A级严格匹配但属于训练算法高门槛冲刺岗,"岗位职责
构建金融AI智能体全链路，负责AI营销、AI风控、AI客服和AI催收场景的大模型研发与应用；覆盖多轮对话、RAG、SFT/RL、Agent任务规划、策略选择、工具调用、评测与反馈闭环。
岗位要求
重视大模型训练、预训练/微调/对齐和强化学习经验；ACL/EMNLP/NAACL/NeurIPS/ICML/ICLR论文及ACM/Kaggle等竞赛成绩为重要加分项。
岗位明确属于金融服务平台，城市包含北京和上海。",2026-06-03,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4531750384&highlightType=campus,3（第三方规则；提交页待复核）,
小米,AI研发工程师-智能风控方向,智能风控Agent/金融AI应用工程,high,2027正式校园岗位；A级主投，当前最强“北京+风控+Agent工程”匹配,"岗位职责
1. 建设面向零售、服务、整车业务的AI风控工作流和应用平台。
2. 基于LangGraph、LangChain、AutoGen实现任务规划、工具调用、知识检索、状态管理和人工审核。
3. 以MCP接入数据仓库、特征平台、策略平台、规则引擎、案件系统、监控告警和知识库。
4. 结合RAG、结构化检索和SQL建设风险知识库与分析助手。
岗位要求
1. 熟练Python及至少一门后端语言，熟悉Git、Linux、数据库、接口和容器部署。
2. 理解MCP、Function Calling、RAG、Prompt、Memory和Workflow Orchestration。
3. 具备稳定、可扩展、可观测服务的工程能力，了解鉴权、审计、降级、评测和监控。
4. 有风控、反作弊、策略平台、RAG/MCP/Agent或多系统集成经验者优先。",2026-08-11,https://hr.xiaomi.com/website/opportunities.html?q=AI%E7%A0%94%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88-%E6%99%BA%E8%83%BD%E9%A3%8E%E6%8E%A7%E6%96%B9%E5%90%91&city=%E5%8C%97%E4%BA%AC&project=%E6%A0%A1%E6%8B%9B,2（旧规则；提交页待复核）,
小米,风控模型-汽车金融,汽车金融风控/机器学习,medium,2027正式校园岗位；A级业务匹配但更偏传统模型与数据分析，作为技术路线候补,"岗位职责
开发汽车金融风险评估模型，分析风控数据，建设渠道/商户评级、反欺诈、准入与监控体系，迭代汽车金融产品风控策略。
岗位要求
金融、经济、数学、统计、计算机相关专业优先；熟练SQL、Python或R，熟悉常用机器学习算法与建模流程；金融风控或汽车金融实习经验优先。",2026-08-11,https://hr.xiaomi.com/website/opportunities.html?q=%E9%A3%8E%E6%8E%A7%E6%A8%A1%E5%9E%8B-%E6%B1%BD%E8%BD%A6%E9%87%91%E8%9E%8D&city=%E5%8C%97%E4%BA%AC&project=%E6%A0%A1%E6%8B%9B,2（旧规则；提交页待复核）,
快手,AI应用服务端开发工程师,AI应用服务端/Agent工程,high,秋招未正式开放前，用转正实习/同类岗位作为目标岗位画像和投递替代样本,"职位描述
1、负责AI工程化落地，利用提示词工程，微调等一系列技术，解决将大模型用于生产场景的一系列复杂问题，平衡效果，成本，速度；
2、开发适用于生产场景的Agent系统，探索Agent提示词工程的最佳实践，解决将Agent应用于产品时遇到的最棘手的挑战；
任职要求
1、本科及以上学历，具备扎实的计算机专业基础，比如操作系统、计算机体系结构等；
2、熟练掌握C/C++/Java/python，具备优秀的编程素养，对代码质量追求极致；
3、思维严谨，逻辑清晰，有强烈的技术热情，工作责任感强；
4、日常熟练使用各种AI工具，对大模型的工作原理有一定了解；
5、了解提示词工程，有Agent系统开发经验的优先；",2026-07-30,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/11260,♾,
